id,cryptocurrency,amount,exit_price,total_value,executed_at,original_purchase_amount,original_purchase_price,original_purchase_value,exit_value,realized_pnl,realized_pnl_pct,execution_mode,strategy_trigger,notes
cf2df4a1-8f9c-4840-b541-fc8b02e7bc95,SOL,5.02975941,118.17000000,594.37,2026-01-13 03:10:16.826+00,5.02975941,119.29000000,600.00,594.37,-5.63,-0.94,COINBASE,direct_intelligent|req:req_1768273813516_mi09znknl|lot:8287ce2f,Direct path: UD=OFF - Per-lot SELL [2/2]
17154b79-f15f-49ae-9dec-8fdaf4d8cb1c,SOL,5.03144654,118.17000000,594.57,2026-01-13 03:10:16.826+00,5.03144654,119.25000000,600.00,594.57,-5.43,-0.91,COINBASE,direct_intelligent|req:req_1768273813516_mi09znknl|lot:9a835490,Direct path: UD=OFF - Per-lot SELL [1/2]
b5526bf5-d6de-4813-ac6f-7aae978ae4e2,BTC,0.00767885,78919.97000000,606.01,2026-01-13 05:22:02.148+00,0.00767885,78136.70000000,600.00,606.01,6.01,1.00,COINBASE,direct_intelligent|req:req_1768281718316_oiqxi4hyj|lot:11daf072,Direct path: UD=OFF - Per-lot SELL [1/4]
cf2959b0-2825-4daf-8654-b8e3cc2958ee,BTC,0.00765961,78919.97000000,604.50,2026-01-13 05:22:02.148+00,0.00765961,78332.97000000,600.00,604.50,4.50,0.75,COINBASE,direct_intelligent|req:req_1768281718316_oiqxi4hyj|lot:e845a76f,Direct path: UD=OFF - Per-lot SELL [4/4]
a05cd79e-0050-4bdc-b69d-977b46813be7,BTC,0.00768394,78919.97000000,606.42,2026-01-13 05:22:02.148+00,0.00768394,78084.94000000,600.00,606.42,6.42,1.07,COINBASE,direct_intelligent|req:req_1768281718316_oiqxi4hyj|lot:675a34fd,Direct path: UD=OFF - Per-lot SELL [3/4]
5578fe97-eb95-46cd-bbf2-c93df7808cde,BTC,0.00767666,78919.97000000,605.84,2026-01-13 05:22:02.148+00,0.00767666,78158.99000000,600.00,605.84,5.84,0.97,COINBASE,direct_intelligent|req:req_1768281718316_oiqxi4hyj|lot:aba021ac,Direct path: UD=OFF - Per-lot SELL [2/4]
e5ccf881-400b-422a-ac46-c49afc959e50,AVAX,51.50214592,11.78000000,606.70,2026-01-13 05:22:10.711+00,51.50214592,11.65000000,600.00,606.70,6.70,1.12,COINBASE,direct_intelligent|req:req_1768281727947_jdw497sfg|lot:d3efe2ac,Direct path: UD=OFF - Per-lot SELL [2/5]
ab08a20c-6329-4659-b151-0c24c540235a,AVAX,51.41388175,11.78000000,605.66,2026-01-13 05:22:10.711+00,51.41388175,11.67000000,600.00,605.66,5.66,0.94,COINBASE,direct_intelligent|req:req_1768281727947_jdw497sfg|lot:2da1405b,Direct path: UD=OFF - Per-lot SELL [5/5]
c19c528d-336a-4f79-b107-70744c5c3b5c,AVAX,51.45797599,11.78000000,606.17,2026-01-13 05:22:10.711+00,51.45797599,11.66000000,600.00,606.17,6.17,1.03,COINBASE,direct_intelligent|req:req_1768281727947_jdw497sfg|lot:f73c79c4,Direct path: UD=OFF - Per-lot SELL [4/5]
0d5a99ae-1ebd-4575-9a6c-b95771447b06,AVAX,51.76876618,11.78000000,609.84,2026-01-13 05:22:10.711+00,51.76876618,11.59000000,600.00,609.84,9.84,1.64,COINBASE,direct_intelligent|req:req_1768281727947_jdw497sfg|lot:6a85c508,Direct path: UD=OFF - Per-lot SELL [3/5]
